TIME,GEO,AGE,SEX,Value
1967,Lituanie,Total,Total,3026800
1967,Malte,Total,Total,NaN
1967,Suisse,Total,Total,5952216
1967,Monaco,Total,Total,NaN
1968,Belgique,Total,Total,9605601
1968,Bulgarie,Total,Total,8335126
1968,Estonie,Total,Total,1323569
1968,France,Total,Total,NaN
1968,Italie,Total,Total,53080900
1968,Chypre,Total,Total,601800
1968,Lituanie,Total,Total,3062000
1968,Malte,Total,Total,NaN
1968,Suisse,Total,Total,6031353
1968,Monaco,Total,Total,NaN
1969,Belgique,Total,Total,9631910
1969,Bulgarie,Total,Total,8404080
1969,Estonie,Total,Total,1338858
1969,France,Total,Total,NaN
1969,Italie,Total,Total,53390600
1969,Chypre,Total,Total,606800
1969,Lituanie,Total,Total,3095700
1969,Malte,Total,Total,NaN
1969,Suisse,Total,Total,6104074
1969,Monaco,Total,Total,NaN
1970,Belgique,Total,Total,9660154
1970,Bulgarie,Total,Total,8464264
1970,Estonie,Total,Total,1351640
1970,France,Total,Total,NaN
1970,Italie,Total,Total,53685300
1970,Chypre,Total,Total,612000
1970,Lituanie,Total,Total,3118941
1970,Malte,Total,Total,302500
1970,Suisse,Total,Total,6168700
1970,Monaco,Total,Total,NaN
1971,Belgique,Total,Total,9650944
1971,Bulgarie,Total,Total,8514883
1971,Estonie,Total,Total,1368511
1971,France,Total,Total,NaN
1971,Italie,Total,Total,53958400
1971,Chypre,Total,Total,616900
1971,Lituanie,Total,Total,3160437
1971,Malte,Total,Total,302800
1971,Suisse,Total,Total,6193054
1971,Monaco,Total,Total,NaN
1972,Belgique,Total,Total,9695379
1972,Bulgarie,Total,Total,8557906
1972,Estonie,Total,Total,1385399
1972,France,Total,Total,NaN
1972,Italie,Total,Total,54188579
1972,Chypre,Total,Total,623100
1972,Lituanie,Total,Total,3197645
1972,Malte,Total,Total,NaN
1972,Suisse,Total,Total,6233744
1972,Monaco,Total,Total,NaN
1973,Belgique,Total,Total,9726850
1973,Bulgarie,Total,Total,8594493
1973,Estonie,Total,Total,1399637
1973,France,Total,Total,NaN
1973,Italie,Total,Total,54574111
1973,Chypre,Total,Total,631778
1973,Lituanie,Total,Total,3229598
1973,Malte,Total,Total,NaN
1973,Suisse,Total,Total,6288168
1973,Monaco,Total,Total,NaN
1974,Belgique,Total,Total,9756590
1974,Bulgarie,Total,Total,8647440
1974,Estonie,Total,Total,1412265
1974,France,Total,Total,NaN
1974,Italie,Total,Total,54928700
1974,Chypre,Total,Total,637800
1974,Lituanie,Total,Total,3259277
1974,Malte,Total,Total,NaN
1974,Suisse,Total,Total,6326525
1974,Monaco,Total,Total,NaN
1975,Belgique,Total,Total,9788248
1975,Bulgarie,Total,Total,8710049
1975,Estonie,Total,Total,1424073
1975,France,Total,Total,NaN
1975,Italie,Total,Total,55293036
1975,Chypre,Total,Total,505700
1975,Lituanie,Total,Total,3288510
1975,Malte,Total,Total,301892
1975,Suisse,Total,Total,6356285
1975,Monaco,Total,Total,NaN
1976,Belgique,Total,Total,9813152
1976,Bulgarie,Total,Total,8731434
1976,Estonie,Total,Total,1434630
1976,France,Total,Total,NaN
1976,Italie,Total,Total,55588966
1976,Chypre,Total,Total,497879
1976,Lituanie,Total,Total,3314794
1976,Malte,Total,Total,306551
1976,Suisse,Total,Total,6320978
1976,Monaco,Total,Total,NaN
1977,Belgique,Total,Total,9823302
1977,Bulgarie,Total,Total,8785763
1977,Estonie,Total,Total,1444522
1977,France,Total,Total,NaN
