TIME,GEO,Value
2000,Italie,10
2000,Lituanie,16.4
2000,Luxembourg,2.2
2001,Allemagne,7.8
2001,Estonie,13
2001,Irlande,3.9
2001,Grece,10.7
2001,Espagne,10.6
2001,France,7.8
2001,Italie,9
2001,Lituanie,17.4
2001,Luxembourg,1.9
2002,Allemagne,8.6
2002,Estonie,11.2
2002,Irlande,4.5
2002,Grece,10.3
2002,Espagne,11.5
2002,France,7.9
2002,Italie,8.5
2002,Lituanie,13.8
2002,Luxembourg,2.6
2003,Allemagne,9.7
2003,Estonie,10.3
2003,Irlande,4.6
2003,Grece,9.7
2003,Espagne,11.5
2003,France,8.5
2003,Italie,8.4
2003,Lituanie,12.4
2003,Luxembourg,3.8
2004,Allemagne,10.4
2004,Estonie,10.1
2004,Irlande,4.5
2004,Grece,10.6
2004,Espagne,11
2004,France,8.9
2004,Italie,8
2004,Lituanie,10.9
2004,Luxembourg,5
2005,Allemagne,11.2
2005,Estonie,8
2005,Irlande,4.4
2005,Grece,10
2005,Espagne,9.2
2005,France,8.9
2005,Italie,7.7
2005,Lituanie,8.3
2005,Luxembourg,4.6
2006,Allemagne,10.1
2006,Estonie,5.9
2006,Irlande,4.5
2006,Grece,9
2006,Espagne,8.5
2006,France,8.8
2006,Italie,6.8
2006,Lituanie,5.8
2006,Luxembourg,4.6
2007,Allemagne,8.5
2007,Estonie,4.6
2007,Irlande,4.7
2007,Grece,8.4
2007,Espagne,8.2
2007,France,8
2007,Italie,6.1
2007,Lituanie,4.3
2007,Luxembourg,4.2
2008,Allemagne,7.4
2008,Estonie,5.5
2008,Irlande,6.4
2008,Grece,7.8
2008,Espagne,11.3
2008,France,7.4
2008,Italie,6.7
2008,Lituanie,5.8
2008,Luxembourg,4.9
2009,Allemagne,7.6
2009,Estonie,13.5
2009,Irlande,12
2009,Grece,9.6
2009,Espagne,17.9
2009,France,9.1
2009,Italie,7.7
2009,Lituanie,13.8
2009,Luxembourg,5.1
2010,Allemagne,7
2010,Estonie,16.7
2010,Irlande,13.9
2010,Grece,12.7
2010,Espagne,19.9
2010,France,9.3
2010,Italie,8.4
2010,Lituanie,17.8
2010,Luxembourg,4.6
2011,Allemagne,5.8
2011,Estonie,12.3
2011,Irlande,14.7
2011,Grece,17.9
2011,Espagne,21.4
2011,France,9.2
2011,Italie,8.4
2011,Lituanie,15.4
2011,Luxembourg,4.8
2012,Allemagne,5.4
2012,Estonie,10
2012,Irlande,14.7
2012,Grece,24.5
2012,Espagne,24.8
2012,France,9.8
2012,Italie,10.7
2012,Lituanie,13.4
2012,Luxembourg,5.1
2013,Allemagne,5.2
2013,Estonie,8.6
2013,Irlande,13.1
2013,Grece,27.5
2013,Espagne,26.1
2013,France,10.3
2013,Italie,12.1
2013,Lituanie,11.8
2013,Luxembourg,5.9
2014,Allemagne,5
2014,Estonie,7.4
2014,Irlande,11.3
2014,Grece,26.5
2014,Espagne,24.5
2014,France,10.3
2014,Italie,12.7
2014,Lituanie,10.7
2014,Luxembourg,6
2015,Allemagne,4.6
2015,Estonie,NaN
2015,Irlande,9.4
2015,Grece,NaN
2015,Espagne,22.1
2015,France,10.4
2015,Italie,NaN
2015,Lituanie,9.1
2015,Luxembourg,6.1
