date,CPI
2024-11-13,101.0217
2024-12-13,100.793
2024-01-14,100.5172
2024-02-14,100.6171
2024-03-14,100.981
2024-04-14,101.0506
2024-05-14,101.3466
2024-06-14,101.2729
2024-07-14,100.8939
2024-08-14,100.8614
2024-09-14,101.0037
2024-10-14,101.0019
2024-11-14,100.9625
2024-12-14,100.462
2024-01-15,100.0294
2024-02-15,99.7723
2024-03-15,100.0978
2024-04-15,99.9162
2024-05-15,100.1488
2024-06-15,100.2224
2024-07-15,99.6065
2024-08-15,99.4468
2024-09-15,99.5456
2024-10-15,99.6284
2024-11-15,99.5566
2024-12-15,99.1476
2024-01-16,98.7624
2024-02-16,98.9457
2024-03-16,99.2362
2024-04-16,99.5645
2024-05-16,99.7082
2024-06-16,99.8475
2024-07-16,99.4044
2024-08-16,99.3045
2024-09-16,99.3649
2024-10-16,99.4164
2024-11-16,99.2199
2024-12-16,99.1409
2024-01-17,99.107
2024-02-17,99.5849
2024-03-17,99.7997
2024-04-17,100.0004
2024-05-17,100.1862
2024-06-17,100.0444
2024-07-17,99.7317
2024-08-17,99.764
2024-09-17,100.0128
2024-10-17,100.0735
2024-11-17,100.0008
2024-12-17,99.9724
2024-01-18,99.8406
2024-02-18,100.2104
2024-03-18,100.5935
2024-04-18,100.8036
2024-05-18,101.1873
2024-06-18,101.1915
2024-07-18,100.9587
2024-08-18,100.9423
2024-09-18,101.0024
2024-10-18,101.1809
2024-11-18,100.9228
2024-12-18,100.6637
2024-01-19,100.3998
2024-02-19,100.7902
2024-03-19,101.3269
2024-04-19,101.5173
2024-05-19,101.8291
2024-06-19,101.7989
2024-07-19,101.2735
2024-08-19,101.2632
2024-09-19,101.1522
2024-10-19,100.9248
2024-11-19,100.7904
2024-12-19,100.8205
2024-01-20,100.6029
2024-02-20,100.7275
2024-03-20,100.8049
2024-04-20,100.4382
2024-05-20,100.4803
2024-06-20,100.5012
2024-07-20,100.3419
2024-08-20,100.3861
2024-09-20,100.3431
2024-10-20,100.3492
2024-11-20,100.1002
2024-12-20,100
2024-01-21,100.0553
2024-02-21,100.2198
2024-03-21,100.5577
2024-04-21,100.7675
2024-05-21,101.0339
2024-06-21,101.1087
2024-07-21,101.023
2024-08-21,101.2711
2024-09-21,101.2887
2024-10-21,101.5954
2024-11-21,101.6346
2024-12-21,101.5311
2024-01-22,101.705
2024-02-22,102.3754
2024-03-22,102.9572
2024-04-22,103.3351
2024-05-22,104.0068
2024-06-22,104.5312
2024-07-22,104.4916
2024-08-22,104.7671
2024-09-22,104.5831
2024-10-22,104.6392
2024-11-22,104.6432
2024-12-22,104.4149
2024-01-23,105.0435
2024-02-23,105.8273
2024-03-23,105.9896
2024-04-23,105.986
2024-05-23,106.252
2024-06-23,106.3196
2024-07-23,106.1688
2024-08-23,106.3955
2024-09-23,106.3136
2024-10-23,106.4112
2024-11-23,106.1539
2024-12-23,106.2055
2024-01-24,106.3866
