DATE,GDPC1,GFDEGDQ188S
2009-07-01,16326.281,82.42733
2009-10-01,16502.754,84.02935
2010-01-01,16582.710,86.51175
2010-04-01,16743.162,88.12832
2010-07-01,16872.266,89.56528
2010-10-01,16960.864,91.61134
2011-01-01,16920.632,92.95614
2011-04-01,17035.114,92.19380
2011-07-01,17031.313,94.52098
2011-10-01,17222.583,96.09072
2012-01-01,17367.010,97.12308
2012-04-01,17444.525,97.82763
2012-07-01,17469.650,98.44787
2012-10-01,17489.852,100.07497
2013-01-01,17662.400,100.73997
2013-04-01,17709.671,100.05758
2013-07-01,17860.450,98.72797
2013-10-01,18016.147,99.79118
2014-01-01,17953.974,102.34617
2014-04-01,18185.911,100.65130
2014-07-01,18406.941,100.11145
2014-10-01,18500.031,101.28050
2015-01-01,18666.621,100.49009
2015-04-01,18782.243,99.30094
2015-07-01,18857.418,98.63595
2015-10-01,18892.206,102.64192
2016-01-01,19001.690,103.98904
2016-04-01,19062.709,103.58005
2016-07-01,19197.938,103.60355
2016-10-01,19304.352,104.64891
2017-01-01,19398.343,102.93741
2017-04-01,19506.949,102.08817
2017-07-01,19660.766,102.80463
2017-10-01,19882.352,102.27408
2018-01-01,20044.077,103.74395
2018-04-01,20150.476,102.98411
2018-07-01,20276.154,103.44890
2018-10-01,20304.874,105.04941
2019-01-01,20415.150,104.37709
2019-04-01,20584.528,102.98581
2019-07-01,20817.581,104.72530
2019-10-01,20951.088,105.93081
2020-01-01,20665.553,106.99007
2020-04-01,19034.830,132.96365
2020-07-01,20511.785,124.47265
2020-10-01,20724.128,125.98604
2021-01-01,20990.541,124.47938
2021-04-01,21309.544,122.48408
2021-07-01,21483.083,119.30400
2021-10-01,21847.602,120.12854
2022-01-01,21738.871,121.46238
2022-04-01,21708.160,119.66902
2022-07-01,21851.134,118.98189
2022-10-01,21989.981,118.97609
2023-01-01,22112.329,117.32269
2023-04-01,22225.350,119.47035
2023-07-01,22490.692,120.12742
2023-10-01,22672.859,
